0,1023
1,1024
2,1025
3,1026
4,1027
5,1028
6,1029
7,1032
8,1034
9,1035
10,1036
11,1037
12,1038
13,1039
14,1042
15,1043
16,1045
17,1046
18,1047
19,1048
20,1049
21,1052
22,1053
23,1054
24,1056
25,1057
26,1058
27,1059
28,1062
29,1063
30,1064
31,1065
32,1067
33,1068
34,1069
35,1072
36,1073
37,1074
38,1075
39,1076
40,1078
41,1079
42,1082
43,1083
44,1084
45,1085
46,1086
47,1087
48,1089
49,1092
50,1093
51,1094
52,1095
53,1096
54,1097
55,1098
56,1203
57,1204
58,1205
59,1206
60,1207
61,1208
62,1209
63,1230
64,1234
65,1235
66,1236
67,1237
68,1238
69,1239
70,1240
71,1243
72,1245
73,1246
74,1247
75,1248
76,1249
77,1250
78,1253
79,1254
80,1256
81,1257
82,1258
83,1259
84,1260
85,1263
86,1264
87,1265
88,1267
89,1268
90,1269
91,1270
92,1273
93,1274
94,1275
95,1276
96,1278
97,1279
98,1280
99,1283
100,1284
101,1285
102,1286
103,1287
104,1289
105,1290
106,1293
107,1294
108,1295
109,1296
110,1297
111,1298
112,1302
113,1304
114,1305
115,1306
116,1307
117,1308
118,1309
119,1320
120,1324
121,1325
122,1326
123,1327
124,1328
125,1329
126,1340
127,1342
128,1345
129,1346
130,1347
131,1348
132,1349
133,1350
134,1352
135,1354
136,1356
137,1357
138,1358
139,1359
140,1360
141,1362
142,1364
143,1365
144,1367
145,1368
146,1369
147,1370
148,1372
149,1374
150,1375
151,1376
152,1378
153,1379
154,1380
155,1382
156,1384
157,1385
158,1386
159,1387
160,1389
161,1390
162,1392
163,1394
164,1395
165,1396
166,1397
167,1398
168,1402
169,1403
170,1405
171,1406
172,1407
173,1408
174,1409
175,1420
176,1423
177,1425
178,1426
179,1427
180,1428
181,1429
182,1430
183,1432
184,1435
185,1436
186,1437
187,1438
188,1439
189,1450
190,1452
191,1453
192,1456
193,1457
194,1458
195,1459
196,1460
197,1462
198,1463
199,1465
200,1467
201,1468
202,1469
203,1470
204,1472
205,1473
206,1475
207,1476
208,1478
209,1479
210,1480
211,1482
212,1483
213,1485
214,1486
215,1487
216,1489
217,1490
218,1492
219,1493
220,1495
221,1496
222,1497
223,1498
224,1502
225,1503
226,1504
227,1506
228,1507
229,1508
230,1509
231,1520
232,1523
233,1524
234,1526
235,1527
236,1528
237,1529
238,1530
239,1532
240,1534
241,1536
242,1537
243,1538
244,1539
245,1540
246,1542
247,1543
248,1546
249,1547
250,1548
251,1549
252,1560
253,1562
254,1563
255,1564
256,1567
257,1568
258,1569
259,1570
260,1572
261,1573
262,1574
263,1576
264,1578
265,1579
266,1580
267,1582
268,1583
269,1584
270,1586
271,1587
272,1589
273,1590
274,1592
275,1593
276,1594
277,1596
278,1597
279,1598
280,1602
281,1603
282,1604
283,1605
284,1607
285,1608
286,1609
287,1620
288,1623
289,1624
290,1625
291,1627
292,1628
293,1629
294,1630
295,1632
296,1634
297,1635
298,1637
299,1638
300,1639
301,1640
302,1642
